Název           ; ID       ; k         ; s             ; b      ; x       ; y      ; v     ; tau   
sand            ; SS   ;1,00E-06;1,29E-04;1,82E+00;8,81E+00;3,66E-01;1,07E+01;2,45E-01
loamy sand      ; LS   ;1,00E-06;1,29E-04;1,82E+00;8,81E+00;3,66E-01;1,07E+01;2,45E-01
sandy loam      ; SL   ;5,14E-06;9,75E-05;1,79E+00;9,20E+00;4,62E-01;1,07E+01;2,45E-01
loam            ; LL   ;1,67E-06;1,29E-04;1,74E+00;1,01E+01;5,61E-01;1,08E+01;2,48E-01
silt loam       ; SIL  ;1,39E-07;1,03E-04;1,74E+00;1,01E+01;5,61E-01;1,08E+01;2,48E-01
silt            ; SI   ;1,67E-07;1,03E-04;1,74E+00;1,01E+01;5,61E-01;1,08E+01;2,48E-01
sandy clay loam ; SCL  ;5,14E-06;9,75E-05;1,70E+00;1,07E+01;6,03E-01;1,15E+01;2,64E-01
clay loam       ; CL   ;1,94E-06;4,75E-05;1,70E+00;1,07E+01;6,03E-01;1,15E+01;2,64E-01
silty clay loam ; SICL ;1,67E-07;1,03E-04;1,70E+00;1,07E+01;6,03E-01;1,15E+01;2,64E-01
sandy clay      ; SC   ;5,14E-06;9,75E-05;1,67E+00;1,13E+01;6,36E-01;1,33E+01;3,05E-01
silty clay      ; SIC  ;1,94E-06;4,75E-05;1,67E+00;1,13E+01;6,36E-01;1,33E+01;3,05E-01
clay            ; CC   ;1,94E-06;4,75E-05;1,67E+00;1,13E+01;6,36E-01;1,33E+01;3,05E-01
